T,P,L,S,M,T,P,L,S,M,T,P,L,S,M
132,52,23,67,158,103,53,14,71,130,83,57,25,67,112
199,51,22,69,225,174,66,13,71,207,150,44,24,63,172
268,52,21,60,294,245,48,12,51,269,213,55,23,83,241
328,36,20,53,346,296,26,11,51,309,296,79,22,70,336
381,39,19,51,401,347,50,10,57,372,366,30,21,52,381
432,30,18,61,447,404,34,9,58,421,418,41,20,61,439
493,61,17,75,524,462,54,8,60,489,479,51,19,61,505
568,57,16,59,597,569,28,6,560,583,540,36,18,52,558
627,27,15,43,641,569,28,6,560,583,592,36,17,53,610
670,26,14,45,683,569,28,6,560,583,645,35,16,49,663
715,32,13,47,731,569,28,6,560,583,694,27,15,45,708
762,33,12,45,779,569,28,6,560,583,739,26,14,46,752
807,25,11,43,820,569,28,6,560,583,785,27,13,43,799
850,27,10,44,864,569,28,6,560,583,828,24,12,42,840
894,27,9,44,908,569,28,6,560,583,870,26,11,42,883
938,27,8,42,952,569,28,6,560,583,912,27,10,46,926
980,25,7,42,993,569,28,6,560,583,958,28,9,48,972
1022,28,6,47,1036,569,28,6,560,583,1006,39,8,50,1026
1069,35,5,48,1087,569,28,6,560,583,1056,26,7,46,1069
1117,27,4,49,1131,569,28,6,560,583,1102,32,6,47,1118
1166,34,3,58,1183,1129,31,5,66,1145,1149,33,5,46,1166
1224,53,2,79,1251,1195,69,4,67,1230,1195,26,4,47,1208
1303,78,1,73,1342,1311,37,2,57,1330,1290,27,2,51,1304
1376,41,0,66,1397,1368,46,1,63,1391,1341,45,1,58,1364
2,61,25,62,1473,1431,50,0,58,1456,1399,44,0,61,1421
64,36,24,48,1522,49,36,25,52,1507,20,48,23,58,1484
112,32,23,52,1568,101,40,24,53,1561,78,38,22,49,1537
164,41,22,56,1625,154,39,23,48,1614,127,33,21,53,1584
220,40,21,49,1680,202,30,22,49,1657,180,44,20,56,1642
269,28,20,51,1723,251,39,21,54,1711,236,41,19,50,1697
320,44,19,56,1782,305,40,20,48,1765,286,32,18,63,1742
376,40,18,53,1836,353,26,19,44,1806,349,67,17,62,1823
429,37,17,60,1888,397,36,18,43,1855,411,28,16,47,1865
489,55,16,59,1957,440,27,17,59,1894,458,36,15,60,1916
548,31,15,58,2004,499,63,16,68,1971,518,53,14,66,1985
606,50,14,63,2071,567,41,15,58,2028,584,47,13,64,2048
669,44,13,60,2131,625,43,14,64,2087,648,48,12,63,2112
729,46,12,55,2192,689,53,13,71,2156,711,46,11,50,2174
784,30,11,57,2239,760,58,12,62,2229,761,23,10,59,2213
841,55,10,81,2309,822,32,11,51,2278,820,62,9,69,2291
922,70,9,72,2397,924,29,9,46,2379,889,46,8,61,2352
994,44,8,57,2456,970,30,8,55,2425,950,45,7,60,2413
1051,38,7,51,2510,1025,47,7,55,2489,1051,23,5,50,2503
1102,29,6,41,2557,1080,30,6,45,2535,1051,23,5,50,2503
1143,22,5,49,2594,1125,30,5,48,2580,1101,63,4,58,2573
1192,47,4,55,2656,1173,37,4,55,2632,1159,22,3,47,2610
1247,32,3,59,2703,1228,41,3,59,2689,1206,41,2,131,2667
1306,54,2,59,2773,1287,45,2,50,2750,1206,41,2,131,2667
1365,34,1,46,2822,1337,25,1,47,2790,1337,58,1,74,2806
1411,25,0,47,2864,1384,36,0,54,2842,1337,58,1,74,2806
18,37,25,65,2917,1438,43,24,55,2900,1411,57,0,65,2880
83,60,24,61,2993,53,40,23,55,2953,82,25,25,46,2975
144,30,23,48,3039,108,37,22,52,3007,128,32,24,50,3024
192,33,22,49,3089,160,35,21,47,3058,178,34,23,47,3075
241,34,21,51,3138,207,28,20,50,3101,225,27,22,45,3119
292,33,20,50,3189,257,40,19,49,3157,270,31,21,50,3166
342,28,19,46,3236,306,33,18,47,3203,320,41,20,51,3221
388,32,18,47,3284,353,42,17,55,3254,371,29,19,52,3266
435,31,17,53,3331,408,37,16,50,3307,423,44,18,54,3325
488,43,16,57,3390,458,32,15,52,3354,477,36,17,52,3375
545,41,15,53,3446,510,43,14,54,3412,529,37,16,52,3428
598,35,14,53,3496,564,37,13,113,3463,581,38,15,48,3480
651,39,13,56,3551,564,37,13,113,3463,629,28,14,46,3523
707,41,12,52,3608,564,37,13,113,3463,675,30,13,91,3570
759,31,11,54,3655,677,160,12,110,3637,675,30,13,91,3570
813,47,10,57,3717,787,30,11,50,3682,766,119,12,90,3706
870,34,9,53,3767,837,38,10,63,3736,856,27,11,47,3750
923,42,8,55,3824,900,56,9,59,3808,903,34,10,47,3800
978,38,7,54,3877,959,32,8,53,3855,950,26,9,44,3843
1032,39,6,52,3932,1012,48,7,53,3916,994,34,8,50,3891
1084,31,5,49,3980,1065,35,6,51,3963,1044,38,7,51,3943
1133,36,4,64,4031,1116,32,5,67,4012,1095,37,6,62,3994
1197,62,3,61,4108,1183,70,4,65,4098,1196,13,4,34,4083
1258,31,2,49,4154,1248,29,3,46,4143,1230,34,3,49,4127
1307,37,1,58,4206,1294,37,2,52,4193,1279,29,2,55,4174
1365,48,0,78,4269,1346,34,1,50,4243,1334,52,1,57,4240
3,76,27,67,4361,4,26,26,49,4337,1436,27,28,44,4330
70,29,26,58,4405,53,40,25,54,4393,40,29,27,47,4375
128,57,25,60,4477,107,36,24,72,4445,87,32,26,54,4423
188,34,24,46,4525,107,36,24,72,4445,141,48,25,67,4485
234,29,23,45,4569,179,79,23,71,4539,208,55,24,59,4556
279,31,22,46,4615,250,30,22,44,4585,267,30,23,44,4602
325,30,21,43,4660,294,31,21,47,4630,311,30,22,42,4646
368,26,20,44,4701,341,30,20,44,4676,353,25,21,43,4686
412,32,19,48,4748,385,28,19,45,4719,396,31,20,41,4732
460,33,18,54,4797,430,35,18,52,4768,437,21,19,56,4768
514,44,17,57,4856,482,40,17,57,4822,493,58,18,61,4842
571,42,16,56,4912,539,46,16,50,4882,554,38,17,52,4893
627,42,15,56,4968,589,39,15,54,4929,606,41,16,56,4947
683,40,14,51,5023,643,47,14,65,4987,662,37,15,45,5001
734,34,13,60,5071,708,56,13,60,5056,707,24,14,45,5039
794,60,12,62,5144,768,41,12,55,5109,796,25,12,61,5129
856,34,11,50,5193,823,43,11,58,5165,796,25,12,61,5129
906,36,10,50,5244,881,50,10,56,5226,857,70,11,65,5212
956,37,9,50,5295,937,37,9,51,5276,922,31,10,50,5258
1006,36,8,52,5344,988,40,8,48,5328,972,37,9,51,5311
1058,39,7,46,5398,1036,35,7,49,5374,1023,32,8,48,5359
1104,29,6,48,5439,1085,40,6,51,5425,1071,38,7,47,5410
1152,32,5,50,5488,1136,38,5,49,5475,1118,26,6,41,5451
1202,40,4,54,5542,1185,34,4,52,5522,1159,24,5,53,5491
1256,36,3,62,5594,1237,45,3,54,5580,1212,57,4,61,5561
1318,52,2,62,5664,1291,32,2,52,5627,1319,24,2,43,5651
1380,38,1,51,5719,1343,44,1,53,5685,1362,33,1,52,5699
1431,35,0,49,5769,1396,33,0,52,5733,1414,39,0,51,5754
40,34,24,48,5817,8,40,27,50,5788,25,32,25,47,5801
88,29,23,47,5863,58,33,26,67,5835,72,34,24,45,5849
135,34,22,56,5912,58,33,26,67,5835,117,27,23,46,5891
191,49,21,57,5976,189,27,24,43,5963,163,38,22,53,5942
248,35,20,53,6026,232,31,23,48,6008,216,39,21,49,5996
301,39,19,67,6081,280,39,22,51,6060,265,30,20,51,6040
