T,P,L,S,M
83,57,25,67,112
150,44,24,63,172
213,55,23,83,241
296,79,22,70,336
366,30,21,52,381
418,41,20,61,439
479,51,19,61,505
540,36,18,52,558
592,36,17,53,610
645,35,16,49,663
694,27,15,45,708
739,26,14,46,752
785,27,13,43,799
828,24,12,42,840
870,26,11,42,883
912,27,10,46,926
958,28,9,48,972
1006,39,8,50,1026
1056,26,7,46,1069
1102,32,6,47,1118
1149,33,5,46,1166
1195,26,4,47,1208
1290,27,2,51,1304
1341,45,1,58,1364
1399,44,0,61,1421
20,48,23,58,1484
78,38,22,49,1537
127,33,21,53,1584
180,44,20,56,1642
236,41,19,50,1697
286,32,18,63,1742
349,67,17,62,1823
411,28,16,47,1865
458,36,15,60,1916
518,53,14,66,1985
584,47,13,64,2048
648,48,12,63,2112
711,46,11,50,2174
761,23,10,59,2213
820,62,9,69,2291
889,46,8,61,2352
950,45,7,60,2413
1051,23,5,50,2503
1051,23,5,50,2503
1101,63,4,58,2573
1159,22,3,47,2610
1206,41,2,131,2667
1206,41,2,131,2667
1337,58,1,74,2806
1337,58,1,74,2806
1411,57,0,65,2880
82,25,25,46,2975
128,32,24,50,3024
178,34,23,47,3075
225,27,22,45,3119
270,31,21,50,3166
320,41,20,51,3221
371,29,19,52,3266
423,44,18,54,3325
477,36,17,52,3375
529,37,16,52,3428
581,38,15,48,3480
629,28,14,46,3523
675,30,13,91,3570
675,30,13,91,3570
766,119,12,90,3706
856,27,11,47,3750
903,34,10,47,3800
950,26,9,44,3843
994,34,8,50,3891
1044,38,7,51,3943
1095,37,6,62,3994
1196,13,4,34,4083
1230,34,3,49,4127
1279,29,2,55,4174
1334,52,1,57,4240
1436,27,28,44,4330
40,29,27,47,4375
87,32,26,54,4423
141,48,25,67,4485
208,55,24,59,4556
267,30,23,44,4602
311,30,22,42,4646
353,25,21,43,4686
396,31,20,41,4732
437,21,19,56,4768
493,58,18,61,4842
554,38,17,52,4893
606,41,16,56,4947
662,37,15,45,5001
707,24,14,45,5039
796,25,12,61,5129
796,25,12,61,5129
857,70,11,65,5212
922,31,10,50,5258
972,37,9,51,5311
1023,32,8,48,5359
1071,38,7,47,5410
1118,26,6,41,5451
1159,24,5,53,5491
1212,57,4,61,5561
1319,24,2,43,5651
1362,33,1,52,5699
1414,39,0,51,5754
25,32,25,47,5801
72,34,24,45,5849
117,27,23,46,5891
163,38,22,53,5942
216,39,21,49,5996
265,30,20,51,6040
316,44,19,70,6098
386,71,18,67,6182
453,32,17,51,6229
504,40,16,53,6284
557,36,15,62,6335
677,29,13,65,6452
742,67,12,71,6536
813,38,11,55,6592
868,38,10,50,6647
918,30,9,50,6693
968,38,8,50,6747
1018,28,7,47,6792
1065,37,6,48,6844
1113,26,5,42,6886
1155,27,4,55,6929
1210,50,3,51,6995
1261,27,2,65,7035
1326,73,1,70,7123
1396,41,0,49,7177
5,29,25,45,7220
50,28,24,46,7264
96,33,23,45,7313
141,35,22,48,7359
189,36,21,47,7407
236,34,20,47,7453
283,33,19,53,7500
336,46,18,50,7559
386,30,17,43,7601
429,29,16,49,7644
478,41,15,70,7699
548,67,14,64,7782
612,26,13,51,7825
663,44,12,55,7885
762,25,10,53,7975
815,46,9,63,8038
878,47,8,68,8102
946,60,7,67,8176
1013,45,6,60,8236
1073,45,5,65,8296
1138,52,4,80,8364
1138,52,4,80,8364
1218,73,3,71,8455
1335,26,1,51,8548
1386,47,0,60,8610
6,41,23,60,8667
66,49,22,62,8731
128,44,21,64,8790
192,55,20,60,8860
252,32,19,47,8908
299,33,18,53,8956
352,42,17,50,9013
402,26,16,42,9055
444,26,15,99,9097
444,26,15,99,9097
648,28,13,63,9302
648,28,13,63,9302
711,65,12,72,9384
836,25,10,57,9489
893,55,9,71,9561
964,57,8,59,9633
1023,28,7,44,9677
1067,27,6,48,9721
1115,37,5,48,9774
1163,26,4,53,9816
1281,47,2,52,9945
1333,25,1,59,9986
14,32,19,53,10110
67,41,18,74,10168
67,41,18,74,10168
141,74,17,74,10258
215,43,16,59,10317
274,38,15,51,10373
325,31,14,49,10421
374,33,13,50,10471
424,36,12,115,10522
424,36,12,115,10522
424,36,12,115,10522
539,160,11,111,10699
650,42,10,55,10751
705,41,9,331,10806
705,41,9,331,10806
705,41,9,331,10806
705,41,9,331,10806
705,41,9,331,10806
705,41,9,331,10806
1036,23,8,43,11128
1079,36,7,44,11177
1123,26,6,38,11216
1161,20,5,50,11251
1271,35,3,52,11369
1323,36,2,50,11421
1373,33,1,49,11470
66,36,23,102,11604
66,36,23,102,11604
168,137,22,101,11757
269,36,21,46,11807
315,30,20,48,11850
363,43,19,50,11905
413,28,18,49,11947
462,43,17,58,12004
520,46,16,55,12063
575,41,15,59,12116
634,46,14,75,12177
634,46,14,75,12177
709,75,13,73,12267
830,30,11,45,12365
875,32,10,50,12411
925,39,9,55,12465
980,43,8,51,12522
1031,30,7,47,12566
1078,39,6,55,12618
1133,44,5,59,12675
1192,55,4,63,12740
1255,44,3,58,12797
1313,47,2,57,12857
1370,40,1,59,12910
1429,51,0,81,12975
70,85,21,96,13073
166,78,20,63,13165
229,35,19,52,13207
281,40,18,54,13261
335,44,17,54,13317
389,45,16,64,13372
453,52,15,60,13439
513,41,14,50,13494
563,31,13,66,13539
563,31,13,66,13539
696,37,11,85,13675
696,37,11,85,13675
781,112,10,97,13797
878,56,9,57,13866
1020,29,6,46,13995
1066,38,5,48,14045
1114,35,4,63,14092
1177,67,3,87,14171
1264,75,2,84,14262
1348,58,1,66,14337
1414,45,0,55,14397
29,35,24,47,14447
76,32,23,45,14492
121,28,22,41,14535
162,26,21,53,14575
277,42,19,66,14698
404,29,17,55,14819
404,29,17,55,14819
459,48,16,56,14883
515,37,15,50,14934
565,37,14,52,14984
617,41,13,52,15038
669,33,12,49,15086
718,36,11,46,15136
764,32,10,53,15180
817,48,9,57,15241
874,37,8,59,15293
933,53,7,60,15360
993,41,6,49,15414
1042,32,5,48,15458
1090,36,4,70,15508
1090,36,4,70,15508
1232,34,2,88,15649
1232,34,2,88,15649
1232,34,2,88,15649
1320,116,1,100,15778
1420,56,0,84,15848
313,35,21,44,16171
357,24,20,41,16209
398,32,19,45,16254
443,30,18,54,16298
497,52,17,55,16363
552,28,16,49,16406
601,41,15,51,16462
652,33,14,49,16509
701,41,13,51,16562
752,30,12,44,16607
796,31,11,46,16652
842,33,10,45,16699
887,28,9,49,16741
936,40,8,63,16796
999,56,7,58,16867
1057,30,6,48,16912
1105,36,5,45,16963
1150,27,4,59,17004
1209,61,3,64,17080
1273,43,2,57,17135
1330,47,1,56,17194
1386,41,0,54,17247
112,40,24,53,17412
165,38,23,50,17464
215,35,22,52,17513
267,40,21,48,17567
315,31,20,46,17611
361,34,19,44,17658
405,31,18,48,17701
453,41,17,59,17754
512,50,16,58,17817
570,38,15,69,17869
570,38,15,69,17869
639,72,14,63,17955
702,28,13,47,17996
749,39,12,57,18049
856,24,10,47,18148
903,38,9,50,18202
953,34,8,47,18250
1000,32,7,53,18296
